state_l,state_s,city,metro,rank,workers,industry,url,website,id,leadership,founded,company
Georgia,GA,Atlanta,Atlanta,3852,25,Food & Beverage,souto-foods,soutofoods.com,37220,Sebastian Souto,2010-01-01,Souto Foods
Missouri,MO,Saint Louis,"St. Louis, MO-IL",3853,12,Consumer Products & Services,better-life,cleanhappens.com,25179,Tim Barklage,2008-01-01,Better Life
Ohio,OH,Cleveland,Cleveland,3854,73,Business Products & Services,insight2profit,insight2profit.com,21771,Ryan White,2006-01-01,INSIGHT2PROFIT
Texas,TX,Austin,Austin,3855,74,Human Resources,jobs2careers,jobs2careers.com,25054,Bruce Ge,2010-01-01,Jobs2Careers
Tennessee,TN,Dickson,Nashville,3856,16,Construction,griffin-mechanical,griffin-mechanical.com,77706,Christopher Gray,2001-01-01,Griffin Mechanical
New York,NY,New York City,New York City,3857,105,Human Resources,active-staffing-services,activestaffing.com,44289,Elliot Elzweig,1947-01-01,Active Staffing Services
Florida,FL,Orlando,"Orlando, FL",3858,98,Financial Services,first-green-bank,firstgreenbank.com,25289,Ken Laroe,2009-01-01,First GREEN Bank
Texas,TX,Houston,Houston,3859,40,Travel & Hospitality,sceptre-hospitality-resources-shr,shr.global,22331,Rod Jimenez,2012-01-01,Sceptre Hospitality Resources (SHR)
New Jersey,NJ,Paramus,New York City,3860,54,Advertising & Marketing,smartsites,http://smartsites.com,77711,,2011-01-01,SmartSites
Nebraska,NE,Lincoln,"Lincoln, NE",3861,35,Business Products & Services,berry-law-firm,ptsdlawyers.com,77716,John Berry,1965-01-01,Berry Law Firm
Texas,TX,Dallas,Dallas,3862,125,Consumer Products & Services,sharon-young,sharonyounginc.com,2973,Ed Vierling,1984-01-01,Sharon Young
Maryland,MD,Hunt Valley,Baltimore,3863,220,Engineering,wallace-montgomery,wallacemontgomery.com,77721,Stuart Taub,1975-01-01,Wallace Montgomery
Massachusetts,MA,Boston,Boston,3864,510,Human Resources,beacon-hill-staffing-group,beaconhillstaffing.com,1998,Andrew Wang,2000-01-01,Beacon Hill Staffing Group
Tennessee,TN,Cordova,"Memphis, TN-MS-AR",3865,43,Advertising & Marketing,highervisibility,highervisibility.com,24616,Scott Langdon,2009-01-01,HigherVisibility
Florida,FL,Tarpon Springs,Tampa,3866,33,Advertising & Marketing,imagemediacom,imagemedia.com,3521,Jeff Kingsford,1998-01-01,ImageMEDIA.com
Virginia,VA,Reston,"Washington, DC",3867,38,Government Services,sequoia-holdings,sequoiainc.com,43267,Richard Stroupe,2012-01-01,Sequoia Holdings
Missouri,MO,Kansas City,"Kansas City, MO-KS",3868,97,Real Estate,united-real-estate-group,unitedrealestate.com,37707,Dan Duffy,1925-01-01,United Real Estate Group
Illinois,IL,Schaumburg,Chicago,3869,65,IT Services,etek-it-services,etekit.com,25463,Sudheer Chakka,2004-01-01,eTek IT Services
Virginia,VA,Virginia Beach,"Virginia Beach-Norfolk-Newport News, VA-NC",3870,66,Government Services,rmgs,rmgsinc.com,22990,Michael Purdy,2008-01-01,RMGS
Utah,UT,Salt Lake City,Salt Lake City,3871,12,Construction,tn-asphalt-services,tnasphaltservices.com,77726,Nick Howell,1997-01-01,T&N Asphalt Services
Utah,UT,Cottonwood Heights,Salt Lake City,3872,36,Health,vitality-medical,vitalitymedical.com,25751,Brad Packer,2003-01-01,Vitality Medical
Utah,UT,Salt Lake City,Salt Lake City,3873,14,Government Services,leonard-consulting,leonardconsultingllc.com,22147,Kathleen Leonard,2005-01-01,Leonard Consulting
California,CA,Henderson,"Las Vegas-Henderson-Paradise, NV",3874,2,Telecommunications,acquisitionsandrenewalscom,acquisitionsandrenewals.com,26314,Alan Sandler,2007-01-01,acquisitionsandrenewals.com
Texas,TX,Laredo,"Laredo, TX",3875,42,Travel & Hospitality,journey-mexico,journeymexico.com,901,Zachary Rabinor,2003-01-01,Journey Mexico
New York,NY,New York City,New York City,3876,40,IT Services,proactive-technologies,proactivetech.net,20312,Dave Cava,2007-01-01,Proactive Technologies
North Carolina,NC,Garner,"Raleigh, NC",3877,45,IT Services,wingswept,wingswept.com,20393,Jay Strickland,2000-01-01,WingSwept
